,Unnamed: 0,country,GPI_path_primary,GPI_path_LS,GPI_path_US,Female_Never entered primary_pop,Female_Did not transition to lower secondary_pop,Female_Did not transition to upper secondary_pop,Male_Never entered primary_pop,Male_Did not transition to lower secondary_pop,Male_Did not transition to upper secondary_pop,GPI_NEET_15_19,GPI_NEET_20_24,Female_primary_pop_cumulative,Female_LS_pop_cumulative,Female_US_pop_cumulative,Male_primary_pop_cumulative,Male_LS_pop_cumulative,Male_US_pop_cumulative,GPI_primary_cumulative,GPI_LS_cumulative,GPI_US_cumulative
0,0,Afghanistan,1.9219315979920872,0.5298299315722775,0.6723894790368995,662739.93261,51705.439965000005,19135.2997755,268605.4039872,53452.41029436,28458.65435448,2.2588450432016702,2.7042376510096173,662739.93261,714445.372575,733580.6723505,268605.4039872,322057.81428156,350516.46863604,2.467336556793853,2.2183761451923476,2.092856507441926
1,1,Albania,0.8728947052290985,1.2659176010862987,0.7520332318917777,643.7666266901906,292.0807412337287,6412.617162663088,1038.339639381781,257.3745799429623,8527.03961835812,0.8696505505026328,1.0358748015178838,643.7666266901906,935.8473679239194,7348.464530587007,1038.339639381781,1295.7142193247432,9822.753837682862,0.619996196113137,0.7222637167720771,0.7481063510312372
2,2,Angola,1.2041851142754576,0.8850979638878217,1.1424498175182485,106848.0,24486.0,10017.0,61376.0,9864.0,8768.0,1.697367984517556,1.6856861430979506,106848.0,131334.0,141351.0,61376.0,71240.0,80008.0,1.7408759124087592,1.843542953396968,1.7667108289171083
3,3,Argentina,0.8165189649060618,0.7122448979591837,1.0936405529953916,4188.0,9423.0,17799.0,1085.0,19530.0,16275.0,0.860187184171194,1.2443885448916407,4188.0,13611.0,31410.0,1085.0,20615.0,36890.0,3.8599078341013824,0.6602473926752365,0.8514502575223638
4,4,Armenia,,0.2682830049666661,0.4433143214924638,66.54727662,0.0,335.93629410000005,0.0,0.0,757.783536,0.5596439505612881,1.2258257459958797,66.54727662,66.54727662,402.48357072000005,0.0,0.0,757.783536,,,0.5311326409181844
5,5,Bangladesh,0.3533957077028033,0.8806308604772821,1.1730450196648332,111611.76809717657,350182.20177964016,92372.12677004148,297569.1677968253,622134.2847217812,78745.59392139476,2.5229328482636086,7.902624308079051,111611.76809717657,461793.9698768167,554166.0966468581,297569.1677968253,919703.4525186064,998449.0464400012,0.3750784025224784,0.5021118150771259,0.555026917620637
6,6,Belarus,,0.5528808821245536,0.0,0.0,0.0,0.0,0.0,0.0,658.0,0.96844276383637,0.7100537503053995,0.0,0.0,0.0,0.0,0.0,658.0,,,0.0
7,7,Belize,0.665733353207098,0.9856566828852148,1.6201570380220789,73.07737326181467,1394.0323390435688,741.2950580045987,116.66040509325607,1675.8904305533233,457.5451888969893,1.883981154299176,3.160410904780719,73.07737326181467,1467.1097123053835,2208.404770309982,116.66040509325607,1792.5508356465793,2250.0960245435685,0.6264111049794318,0.8184480368034818,0.9814713444320476
8,8,Benin,1.3003985969272462,0.8165731567136765,2.240773337667882,106536.17966681278,6750.398512237804,4851.804361678655,76394.49397251813,7406.6105961944495,2165.2365636982463,1.2502323366092796,2.04307959311575,106536.17966681278,113286.57817905059,118138.38254072925,76394.49397251813,83801.10456871259,85966.34113241083,1.394553116683222,1.3518506559321235,1.3742399756058594
9,9,Bolivia,1.169787072465461,0.9112727818195456,1.0305614783226724,2250.0,14850.0,13050.0,2814.0,9849.0,12663.0,1.4921431689218685,2.1695647769861903,2250.0,17100.0,30150.0,2814.0,12663.0,25326.0,0.7995735607675906,1.3503909026297085,1.1904761904761905
10,10,Bosnia and Herzegovina,0.7269230769230769,1.435897435897436,,189.0,0.0,0.0,260.0,0.0,0.0,0.7837615433848404,1.1831085223789088,189.0,189.0,189.0,260.0,260.0,260.0,0.7269230769230769,0.7269230769230769,0.7269230769230769
12,12,Brazil,0.5747250454960691,0.7147775282100647,0.9127986016702272,84600.0,28200.0,84600.0,136584.0,53658.0,92682.0,1.267151972976832,1.5496075799728015,84600.0,112800.0,197400.0,136584.0,190242.0,282924.0,0.6193990511333685,0.592929006213139,0.697713873690461
14,14,Burkina Faso,1.125236498821655,0.725616406790076,0.9617021276595744,415614.0,26442.0,1356.0,334170.0,33840.0,1410.0,1.5769940578799004,2.9564863738865337,415614.0,442056.0,443412.0,334170.0,368010.0,369420.0,1.2437202621420236,1.2012064889541045,1.2002923501705376
15,15,Burundi,0.968503937007874,1.0388548057259714,1.375,27300.0,36400.0,3850.0,16800.0,36400.0,2800.0,0.9593819580325214,1.3979324293954605,27300.0,63700.0,67550.0,16800.0,53200.0,56000.0,1.625,1.1973684210526316,1.20625
16,16,Cambodia,0.7665189903353462,1.076519744388006,1.2343415098833057,13578.0,40734.0,31098.0,19890.0,35360.0,25194.0,0.9764276006505804,1.903824342524988,13578.0,54312.0,85410.0,19890.0,55250.0,80444.0,0.6826546003016591,0.9830226244343891,1.061732385261797
17,17,Cameroon,1.1308906165655712,0.8542832461633034,0.8613327995618697,96730.19655936048,50836.26321845905,11933.86560939564,61494.81301662762,37266.1789091905,13855.11571771792,2.00381616606902,2.619291556046541,96730.19655936048,147566.45977781952,159500.32538721518,61494.81301662762,98760.99192581812,112616.10764353603,1.5729813916696609,1.4941775786199112,1.4163189327416807
19,19,Chad,1.1166269648557077,0.8791413056469695,0.537391743220236,264634.12568232714,24880.096692020667,1049.4416861605662,217831.44918985764,12338.822656092128,1952.842966793556,1.854824548981846,3.646866788757067,264634.12568232714,289514.2223743478,290563.66406050837,217831.44918985764,230170.27184594976,232123.11481274333,1.2148572975414456,1.2578263042071578,1.251765315552093
21,21,Colombia,0.7632197565301645,0.7266781635943486,1.0987544452985676,6023.846522399999,18675.0986394,15621.329031280002,7053.67795594,40969.35047898,14217.306785989998,1.503612084396832,2.674162265901537,6023.846522399999,24698.9451618,40320.27419308,7053.67795594,48023.02843492,62240.33522091,0.8540007865438816,0.514314610443021,0.6478158263442991
22,22,Comoros,1.1178112786152987,0.8247599451303155,0.6230936819172114,3458.0,1014.0,286.0,1836.0,1026.0,459.0,1.2942618223760092,2.2585090486468538,3458.0,4472.0,4758.0,1836.0,2862.0,3321.0,1.883442265795207,1.562543675751223,1.4327009936766035
25,25,Costa Rica,0.4143403211801428,0.7670394646302743,1.6940573675221997,10.65088735345054,1989.6357746454896,349.08073367512577,276.3880442752712,2385.5037740083703,206.0619317666356,0.9845509614993696,1.4439783615275297,10.65088735345054,2000.2866619989402,2349.367395674066,276.3880442752712,2661.8918182836414,2867.953750050277,0.03853599160332236,0.7514530260995742,0.8191789688494384
26,26,Côte d'Ivoire,1.435852863872015,0.7852381249927262,0.6830238433980562,317420.7054196387,53543.69226437847,13276.528913283377,190103.9396086612,50057.14269188916,19437.87034905312,1.4578952233889937,2.105552714309352,317420.7054196387,370964.3976840172,384240.92659730057,190103.9396086612,240161.08230055036,259598.95264960348,1.6697218693787497,1.544648259120404,1.480132807453711
28,28,Dominican Republic,0.4371963913948646,0.6750972202218062,0.916030534351145,3024.0,6426.0,7560.0,5109.0,7860.0,8253.0,1.2466933081289624,1.8415789052176352,3024.0,9450.0,17010.0,5109.0,12969.0,21222.0,0.5918966529653552,0.7286606523247745,0.8015267175572519
30,30,Egypt,0.9536437779531702,0.8580787738371057,2.8298342541436465,102440.0,61464.0,176709.0,70590.0,73305.0,62445.0,2.8800434777527144,2.2803809743678864,102440.0,163904.0,340613.0,70590.0,143895.0,206340.0,1.4511970534069982,1.1390527815420968,1.6507366482504604
32,32,Eswatini,0.6690647482014387,1.0808080808080809,,52.0,1222.0,260.0,130.0,754.0,0.0,1.3742095368313108,1.341892854316689,52.0,1274.0,1534.0,130.0,884.0,884.0,0.4,1.4411764705882353,1.7352941176470589
33,33,Ethiopia,1.0338174870676915,0.8426760940856503,0.9947352412116268,409490.1592149,104694.71667531,155723.4977139,200945.66271734,99479.00384658,156547.68350644,2.203616420819877,3.328940331576133,409490.1592149,514184.87589021,669908.37360411,200945.66271734,300424.66656392,456972.35007036,2.0378153659922926,1.711526825580446,1.4659713514416446
36,36,Georgia,0.3310366637150349,1.0882246721890898,0.4934276725158189,92.95745636310512,35.27357595615606,3443.866689061785,206.71258930026795,0.0,6979.476184427774,0.7993252802263575,0.943262234625735,92.95745636310512,128.23103231926117,3572.097721381046,206.71258930026795,206.71258930026795,7186.188773728041,0.4496942188077203,0.6203348947121672,0.4970781917725657
37,37,Ghana,0.8312061511281343,0.9684984878931224,1.137943221589696,32162.67193158684,24831.177034497905,37292.257682979405,28049.02365571369,21941.351681941727,32771.63304411838,1.0722829013683877,1.3011984380582156,32162.67193158684,56993.84896608474,94286.10664906415,28049.02365571369,49990.375337655416,82762.0083817738,1.1466592322915021,1.1400964401872362,1.1392438208378257
