,country,year,upsec_ageindatayear,Female_Needs_in_primary,Female_Needs_in_LS,Female_Needs_in_US,Male_Needs_in_primary,Male_Needs_in_LS,Male_Needs_in_US,age_low,age_high,age_band,Total_population_agerange,Female_population_agerange,Male_population_agerange,Female_primary_pop,Female_LS_pop,Female_US_pop,Male_primary_pop,Male_LS_pop,Male_US_pop,Gender_parity_index_primary,Gender_parity_index_LS,Gender_parity_index_US
0,Afghanistan,2015-16,16-18,61.162087865,16.005274002,1.417429613,30.084994498999997,28.558289075,1.992902966,16,18,3,2777.983,1350.0,1428.0,825688.1861775,216071.199027,19135.299775499996,429613.72144572,407812.367991,28458.654354479997,1.9219315979920872,0.5298299315722775,0.6723894790368995
1,Albania,2017-18,14-17,1.9098892420415434,1.3464792968844994,9.160881660947268,1.9144956164532383,0.9306841012108025,10.65879952294765,14,17,4,149.98999999999998,70.0,80.0,1336.9224694290804,942.5355078191496,6412.617162663088,1531.5964931625904,744.547280968642,8527.03961835812,0.8728947052290985,1.2659176010862987,0.7520332318917777
2,Algeria,2018-19,15-17,4.788703958557389,30.186152888863806,2.712620095763395,6.738102078688679,49.15935769987658,2.906031125106304,15,17,3,1792.845,879.0,914.0,42092.70779571945,265336.28389311285,23843.930641760242,61586.25299921453,449316.52937687194,26561.12448347162,0.6834757067661885,0.590533102045212,0.8977003461053682
3,Angola,2016,15-17,43.4,41.4,0.9,36.6,47.5,0.8,15,17,3,2209.021,1113.0,1096.0,483042.0,460782.0,10017.0,401136.0,520600.0,8768.0,1.2041851142754576,0.8850979638878217,1.1424498175182483
4,Argentina,2011-12,15-17,2.2,31.0,1.7,2.5999999999999996,42.0,1.5,15,17,3,2131.984,1047.0,1085.0,23034.0,324570.0,17799.0,28209.999999999996,455700.0,16275.0,0.8165189649060618,0.7122448979591837,1.0936405529953916
5,Armenia,2015-16,15-16,0.201658414,0.646220886,1.01798877,0.0,2.091790429,1.9941672,15,16,2,70.44200000000001,33.0,38.0,66.54727662,213.25289238000002,335.93629410000005,0.0,794.88036302,757.783536,inf,0.2682830049666661,0.44331432149246386
6,Bangladesh,2019,14-17,6.620033160915159,32.652273166001585,1.52429252095778,17.868687901484094,35.36822700147405,1.239502501517311,14,17,4,12412.588000000002,6060.0,6353.0,401174.00955145864,1978727.753859696,92372.12677004148,1135197.7423812845,2246943.4614036465,78745.59392139476,0.3533957077028033,0.8806308604772821,1.1730450196648332
7,Barbados,2012,14-15,0.0,19.0,0.0,0.0,15.7,0.0,14,15,2,7.382,4.0,4.0,0.0,760.0,0.0,0.0,628.0,0.0,,1.2101910828025477,
8,Belarus,2012,15-16,0.0,8.0,0.0,0.0,13.7,0.7,15,16,2,182.251,89.0,94.0,0.0,7120.0,0.0,0.0,12878.0,658.0,,0.5528808821245536,0.0
9,Belize,2015-16,15-16,7.470872495793114,73.88290753093119,9.266188225057483,11.222019236084535,74.95805467950677,5.719314861212366,15,16,2,15.781,8.0,8.0,597.6697996634491,5910.632602474496,741.2950580045987,897.7615388867628,5996.644374360541,457.5451888969893,0.665733353207098,0.9856566828852149,1.6201570380220787
