,country,Female_NEET_15_19,Female_NEET_20_24,year,Male_NEET_15_19,Male_NEET_20_24,15_19_male_total_pop,20_24_male_total_pop,15_19_female_total_pop,20_24_female_total_pop,%Male_NEET_15_19,%Male_NEET_20_24,%Female_NEET_15_19,%Female_NEET_20_24,%Total_NEET_15_19,%Total_NEET_20_24
0,Afghanistan,1194.475,1124.157,2020,528.799,415.702,2378.0,2017.0,2317.0,1985.0,22.237132043734228,20.60991571641051,51.552654294346134,56.63259445843828,36.70445154419595,38.47723638180909
1,Albania,18.167,38.49,2019,20.89,37.157,110.0,121.0,94.0,112.0,18.990909090909092,30.708264462809915,19.32659574468085,34.36607142857143,19.14558823529412,32.46652360515021
2,Angola,306.969,498.009,2014,180.85,295.434,1398.0,1180.0,1474.0,1249.0,12.936337625178826,25.03677966101695,20.825576662143828,39.872618094475584,16.98534122562674,32.66541786743516
3,Argentina,145.031,398.722,2020,168.604,320.416,1800.0,1763.0,1745.0,1714.0,9.366888888888889,18.17447532614861,8.311232091690544,23.26266044340723,8.847249647390692,20.682714984181764
4,Armenia,9.871,36.89,2020,17.638,30.094,91.0,93.0,81.0,80.0,19.382417582417585,32.35913978494624,12.18641975308642,46.1125,15.99360465116279,38.71907514450867
5,Bangladesh,2029.152,4155.919,2017,804.283,525.891,8010.0,7596.0,7700.0,7456.0,10.040986267166042,6.923262243285939,26.35262337662338,55.73925697424893,18.03586887332909,31.104238639383468
6,Belarus,14.086,23.25,2020,14.545,32.744,228.0,219.0,220.0,199.0,6.379385964912281,14.95159817351598,6.402727272727272,11.683417085427136,6.390848214285715,13.395693779904306
7,Belize,6.398,7.999,2019,3.396,2.531,20.0,19.0,20.0,20.0,16.98,13.321052631578947,31.989999999999995,39.995,24.485,26.999999999999996
8,Benin,215.245,211.898,2018,172.164,103.715,620.0,532.0,622.0,539.0,27.768387096774195,19.4953007518797,34.605305466237944,39.31317254174397,31.192351046698874,29.46900093370682
9,Bolivia,47.859,128.512,2020,32.074,59.234,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
10,Bosnia and Herzegovina,8.572,38.593,2020,10.937,32.62,84.0,112.0,80.0,102.0,13.020238095238096,29.124999999999996,10.715,37.83627450980392,11.895731707317074,33.277102803738316
11,Botswana,31.275,50.322,2020,33.847,46.222,114.0,103.0,114.0,102.0,29.690350877192984,44.87572815533981,27.434210526315788,49.33529411764706,28.562280701754382,47.09463414634147
12,Brazil,1606.309,3486.834,2020,1267.653,2250.14,8253.0,8686.0,7829.0,8412.0,15.359905488913123,25.905364955100158,20.517422403883,41.45071326676177,17.870675289143144,33.553479939174174
13,Brunei Darussalam,2.621,0.687,2020,2.416,0.765,17.0,19.0,16.0,17.0,14.211764705882352,4.026315789473684,16.38125,4.041176470588235,15.263636363636362,4.033333333333333
14,Burkina Faso,388.8,447.071,2018,246.545,151.217,1101.0,913.0,1097.0,920.0,22.392824704813805,16.56265060240964,35.44211485870556,48.59467391304348,28.90559599636033,32.63982542280415
15,Burundi,14.219,18.661,2014,14.821,13.349,522.0,496.0,532.0,509.0,2.839272030651341,2.6913306451612904,2.6727443609022554,3.6662082514734773,2.7552182163187853,3.185074626865672
16,Cambodia,87.65,107.429,2019,89.766,56.428,733.0,795.0,729.0,757.0,12.246384720327422,7.0978616352201245,12.023319615912209,14.191413474240422,12.13515731874145,10.557796391752577
17,Cameroon,182.73,294.005,2014,91.191,112.246,1208.0,1072.0,1228.0,1092.0,7.548923841059603,10.47070895522388,14.88029315960912,26.9235347985348,11.244704433497537,18.773151571164508
18,Canada,100.468,148.063,2021,128.077,199.756,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
19,Chad,327.46,320.607,2018,176.545,87.913,871.0,717.0,899.0,742.0,20.269230769230766,12.261227336122733,36.424916573971075,43.20849056603774,28.47485875706215,28.000000000000004
20,Chile,75.406,223.131,2020,73.073,191.862,632.0,712.0,606.0,671.0,11.562183544303796,26.94691011235955,12.443234323432344,33.25350223546945,11.993457189014538,30.00672451193059
21,Colombia,493.075,841.607,2019,327.927,314.718,2190.0,2245.0,2076.0,2164.0,14.973835616438357,14.018619153674832,23.751204238921,38.89126617375231,19.24524144397562,26.226468586981177
22,Comoros,8.977,13.603,2014,6.936,6.023,41.0,36.0,40.0,36.0,16.917073170731708,16.730555555555554,22.442500000000003,37.78611111111111,19.645679012345678,27.25833333333333
23,"Congo, Democratic Republic of the",781.971,1054.069,2012,446.071,605.271,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
24,Cook Islands,0.097,0.098,2019,0.043,0.063,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,inf
25,Costa Rica,24.217,62.995,2020,24.597,43.626,186.0,204.0,176.0,192.0,13.224193548387097,21.385294117647057,13.759659090909091,32.80989583333333,13.484530386740332,26.92449494949495
26,Côte d'Ivoire,425.806,559.917,2017,292.069,265.924,1357.0,1156.0,1398.0,1207.0,21.52313927781872,23.003806228373698,30.458226037195995,46.38914664457332,26.057168784029038,34.94883622513753
27,Djibouti,5.735,7.144,2017,3.954,3.705,50.0,48.0,41.0,41.0,7.9079999999999995,7.718750000000001,13.987804878048781,17.42439024390244,10.647252747252747,12.189887640449438
28,Dominican Republic,225.553,183.959,2020,180.921,99.892,489.0,477.0,472.0,463.0,36.99815950920245,20.941719077568134,47.786652542372885,39.731965442764576,42.296982310093654,30.19691489361702
29,Ecuador,156.724,216.719,2019,88.52,69.904,797.0,788.0,765.0,768.0,11.106649937264743,8.871065989847715,20.486797385620914,28.218619791666665,15.700640204865554,18.420501285347044
30,Egypt,1232.097,3595.463,2020,427.805,1576.694,4476.0,4311.0,4275.0,4123.0,9.557752457551386,36.57374159127812,28.82098245614035,87.20502061605627,18.96814078391041,61.325077069006404
31,El Salvador,63.148,143.865,2020,31.236,50.459,296.0,311.0,288.0,319.0,10.552702702702703,16.22475884244373,21.92638888888889,45.0987460815047,16.161643835616438,30.84507936507937
32,Eswatini,16.081,33.915,2016,11.702,25.274,65.0,58.0,64.0,59.0,18.00307692307692,43.57586206896552,25.1265625,57.483050847457626,21.537209302325582,50.588888888888896
33,Ethiopia,454.443,697.16,2013,206.226,209.424,5627.0,4474.0,5689.0,4625.0,3.6649369113204195,4.680911935628074,7.988099841799964,15.07372972972973,5.838361611876988,9.963556434773052
34,Fiji,4.229,15.953,2016,2.859,4.724,37.0,38.0,35.0,36.0,7.7270270270270265,12.431578947368422,12.082857142857144,44.31388888888888,9.844444444444445,27.941891891891892
35,Gambia,54.409,82.532,2018,53.145,53.33,122.0,108.0,125.0,112.0,43.56147540983607,49.379629629629626,43.5272,73.68928571428572,43.54412955465587,61.75545454545455
36,Georgia,14.69,37.855,2020,18.378,40.132,115.0,123.0,104.0,107.0,15.980869565217393,32.62764227642276,14.124999999999998,35.37850467289719,15.099543378995433,33.907391304347826
37,Ghana,388.279,520.832,2017,362.105,400.271,1531.0,1378.0,1489.0,1350.0,23.65153494448073,29.047242380261252,26.076494291470787,38.58014814814815,24.847152317880795,33.76477272727273
38,Guatemala,416.241,463.867,2019,97.835,74.169,985.0,897.0,955.0,891.0,9.932487309644669,8.268561872909698,43.58544502617801,52.06139169472503,26.498762886597937,30.09149888143177
39,Guinea,75.316,61.291,2019,25.391,29.777,745.0,637.0,750.0,647.0,3.408187919463087,4.674568288854003,10.042133333333334,9.473106646058731,6.736254180602007,7.092523364485981
