,Country,U.S. dollars,all_return,Minimal wages:,all_return,%return per GDP,50% GDP,all_return,return per GDP
0,Afghanistan,70.75,17221875973,,17221875973,85.61224103,,5241088186,26.05414798
1,Albania,239.3,880186292.9,,880186292.9,5.912199162,,804031650.7,5.400669483
2,Algeria,226.79,40728649317,,40728649317,28.08694518,,24744600051,17.0641609
3,Angola,58.81,21418831185,,21418831185,36.69117426,,26953620630,46.17245371
4,Argentina,534.94,82265430125,,36789843438,9.450545129,,54971631331,14.12106805
5,Armenia,139.06,51270536.03,,51270536.03,0.40558251,,65535570.18,0.518427992
6,Bangladesh,17.76,16492464707,,16492464707,5.105125985,,75900538488,23.4944757
7,Barbados,,0,,0,0,,172811228.1,3.911526213
8,Belarus,,0,,681916429.4,1.13165675,,1146477115,1.902606403
9,Belize,321.75,909700309.8,,909700309.8,55.59561118,,484793809.8,29.62778825
10,Benin,64.01,8242904688,,8242904688,52.66511717,,6927255950,44.25924599
11,Bhutan,62.82,261726117.3,,261726117.3,11.30352841,,520921098.8,22.49774115
12,Bolivia,,0,,0,0,,5990680085,16.38016734
13,Bosnia and Herzegovina,,0,,0,0,,238366159.1,1.1950277
14,Brazil,202.71,1.37E+11,,1.37341E+11,9.50630704,,1.91876E+11,13.28106061
15,Burkina Faso,62.41,14516063984,,14516063984,80.94336241,,8314510494,46.36273558
16,Burundi,2.23,400653530,,400653530,14.0986505,,1789097122,62.95677723
17,Cambodia,,0,,18260294964,70.75285822,,6453263731,25.0043526
18,Cameroon,65.36,14222530546,,14222530546,34.85534211,,13936837948,34.15519151
19,Central African Republic,,0,,0,0,,1324942790,55.66781249
20,Chad,121.48,17464358568,,17464358568,161.2728295,,3949116610,36.46771264
21,Colombia,237.57,26522310482,,26522310482,9.771052663,,24814572482,9.141906951
22,Comoros,126.29,676920528.7,,670810073.4,54.29900292,,317283996.1,25.68268623
23,Congo,,0,,0,,,3269546065,
24,Costa Rica,526.39,7150307033,,7150307033,11.56130315,,6871555534,11.11059095
